source_year,source_file,Datum,Spelers,Inzet,P-R1,W-R1,P-R2,W-R2,P-R3,W-R3,P-R4,W-R4,P-R5,W-R5,P-R6,W-R6,P-R7,W-R7,P-R8,W-R8,P-R9,W-R9,P-R10,W-R10,P-R11,W-R11,P-R12,W-R12,P-R13,W-R13
2004,euromillions-financialdata-NL-2004.csv,2004-12-31,359505,"2697718,00",0,"0,00",1,"213961,60",1,"60718,80",2,"8261,00",63,"296,50",70,"132,20",133,"113,40",2477,"29,90",1730,"33,90",3776,"18,30",8618,"14,90",39207,"8,90",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-12-24,347685,"2514450,00",0,"10000000,00",0,"0,00",0,"431942,20",1,"6314,90",54,"278,20",56,"137,70",136,"90,30",2760,"26,80",2224,"25,50",3873,"18,50",10335,"11,10",40694,"8,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-12-17,303811,"2188656,00",0,"26215627,00",1,"298427,70",0,"254066,80",0,"7561,50",24,"326,50",29,"150,90",96,"104,10",1445,"33,60",1584,"28,80",2122,"20,30",9577,"11,90",25226,"9,60",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-12-10,308585,"2160550,00",0,"0,00",0,"822799,30",0,"58374,20",4,"4905,40",42,"231,60",75,"95,00",195,"64,00",2562,"22,30",2578,"20,50",3962,"13,00",13034,"9,30",32701,"8,10",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-12-03,314745,"2196508,00",0,"0,00",0,"400964,30",0,"113787,10",4,"7067,50",38,"313,20",50,"141,70",82,"107,30",1769,"31,40",1602,"28,00",2636,"18,60",8753,"11,70",27488,"9,20",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-11-26,381224,"2916412,00",0,"43756502,00",0,"492365,30",0,"87328,30",4,"6566,00",48,"317,10",64,"131,90",124,"94,80",2438,"31,50",1992,"27,30",3729,"17,90",11357,"11,70",35280,"9,90",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-11-19,339732,"2494264,00",0,"0,00",0,"0,00",0,"807419,90",5,"7082,60",66,"346,40",91,"149,70",203,"84,00",2488,"36,10",2879,"23,10",3830,"20,90",14664,"8,90",33037,"10,60",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-11-12,302913,"2145680,00",0,"0,00",0,"384714,20",0,"72783,70",4,"4520,70",36,"207,10",71,"88,00",160,"67,20",2518,"21,80",2218,"21,90",3914,"13,10",11371,"10,20",34089,"7,60",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-11-05,284619,"1942874,00",0,"0,00",0,"0,00",0,"918290,10",1,"8055,10",36,"303,40",51,"141,20",130,"98,50",1599,"32,90",1666,"28,50",2460,"19,90",8495,"12,30",24066,"10,10",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-10-29,276920,"1869062,00",0,"0,00",0,"349475,00",0,"99175,30",6,"6746,60",26,"443,40",30,"186,20",98,"98,30",1254,"37,40",1612,"26,70",2104,"21,00",9006,"10,60",21267,"10,50",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-10-22,277247,"1947168,00",0,"25059130,00",0,"123757,40",0,"35120,30",2,"4658,80",42,"164,50",47,"90,10",113,"69,70",1924,"23,00",1912,"22,90",2807,"15,30",9339,"10,70",28525,"8,20",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-10-15,278357,"1850746,00",0,"0,00",0,"719157,60",0,"204085,20",4,"5399,00",35,"296,70",31,"154,90",196,"71,80",1872,"30,40",2387,"18,70",2390,"21,40",11842,"7,70",25626,"9,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-10-08,276198,"1800416,00",0,"0,00",0,"0,00",0,"860114,80",6,"5029,90",28,"231,50",50,"105,90",118,"66,10",1631,"26,40",1847,"20,50",2758,"15,00",10124,"9,10",23293,"8,80",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-10-01,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-09-24,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-09-17,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-09-10,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-09-03,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-08-27,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-08-20,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-08-13,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-08-06,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-07-30,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-07-23,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-07-16,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-07-09,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-07-02,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-06-25,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-06-18,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-06-11,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-06-04,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-05-28,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-05-21,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-05-14,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-05-07,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-04-30,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-04-23,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-04-16,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-04-09,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-04-02,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-03-26,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-03-19,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-03-12,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-03-05,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-02-27,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-02-20,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-02-13,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-12-30,654935,"5199520,00",0,"0,00",0,"466812,70",0,"105979,10",3,"9231,60",128,"304,00",179,"128,70",233,"107,00",4211,"33,00",3727,"29,40",7120,"18,80",20239,"12,60",61538,"10,00",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-12-23,689209,"5301750,00",0,"0,00",0,"1107020,10",1,"117807,80",3,"7919,80",76,"321,20",108,"150,80",205,"107,50",3162,"35,90",3575,"31,00",5407,"19,60",22927,"12,30",55348,"11,00",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-12-16,534199,"4081676,00",0,"0,00",2,"346861,30",1,"71588,00",1,"5983,80",105,"257,10",142,"108,20",202,"101,50",3833,"26,80",2917,"28,40",6002,"15,70",15262,"13,10",55861,"8,70",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-12-09,518506,"3886614,00",0,"0,00",0,"422158,70",0,"119801,80",4,"7779,30",78,"293,00",102,"137,20",230,"88,00",3680,"30,70",3587,"24,90",5093,"19,20",19224,"10,10",51118,"9,50",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-12-02,498475,"3676550,00",0,"0,00",0,"336082,20",1,"95374,60",6,"3784,70",74,"203,40",133,"82,60",256,"67,40",3494,"24,20",3751,"21,90",5860,"13,60",19446,"9,90",49080,"8,60",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-11-25,513150,"3696364,00",0,"0,00",0,"735259,10",2,"52163,60",17,"3493,10",93,"272,20",184,"113,00",353,"59,00",3250,"29,80",3905,"20,00",5867,"17,10",17083,"10,90",43486,"9,50",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-11-18,473541,"3404270,00",0,"0,00",1,"546924,50",0,"124166,60",6,"8212,00",60,"280,70",84,"140,60",155,"112,40",3228,"29,90",2123,"33,80",4267,"19,50",11599,"14,20",48548,"9,30",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-11-11,520901,"3817026,00",0,"45117030,00",0,"1262278,00",2,"102346,80",2,"6092,00",42,"357,20",65,"172,10",192,"83,20",2422,"36,40",3550,"20,20",3703,"23,30",22461,"7,60",41536,"10,00",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-11-04,498276,"3685548,00",0,"0,00",0,"592653,20",0,"112123,50",2,"8736,90",50,"403,40",72,"170,40",163,"104,00",2290,"39,90",3038,"26,40",3376,"24,20",20449,"10,00",38385,"11,60",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-10-28,544681,"3933762,00",0,"0,00",1,"441566,30",1,"156636,70",5,"6780,80",64,"352,20",79,"173,70",236,"86,30",2973,"35,50",3789,"23,20",4174,"23,50",22608,"8,40",44486,"10,60",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-10-21,466997,"3354810,00",0,"0,00",0,"712536,90",1,"75827,40",5,"6279,70",70,"251,60",99,"110,20",177,"92,10",3054,"26,80",2630,"28,30",5027,"15,60",13873,"13,00",45122,"8,90",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-10-14,490316,"3511122,00",0,"15000000,00",0,"1099329,30",0,"38996,40",6,"4691,30",74,"185,60",146,"77,20",265,"65,90",3519,"22,80",3548,"21,50",6121,"12,30",16930,"10,60",47040,"8,20",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-10-07,474299,"3409158,00",1,"7500000,00",0,"560592,50",0,"79543,50",5,"4685,90",92,"252,50",129,"114,40",247,"71,70",3465,"26,10",3525,"20,80",5233,"15,50",17234,"10,10",47229,"8,50",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-09-30,511581,"3693246,00",0,"6266595,00",0,"1188436,30",0,"134903,50",4,"6599,90",50,"311,50",76,"151,30",186,"96,50",2412,"32,20",2961,"26,40",3785,"19,50",16735,"11,50",39430,"10,30",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-09-23,525906,"3734684,00",0,"0,00",0,"1150014,90",0,"217570,30",4,"10842,30",57,"394,90",70,"168,70",188,"102,20",2380,"37,70",2921,"27,80",3633,"21,80",17051,"11,00",38631,"10,90",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-09-16,605749,"4700322,00",0,"75888514,00",0,"452651,60",0,"89918,60",9,"4587,60",128,"221,90",214,"100,20",360,"68,40",5434,"23,90",5055,"21,30",8284,"14,80",24262,"10,20",72543,"8,10",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-09-09,602111,"4612538,00",0,"0,00",2,"375440,10",1,"85235,00",7,"5159,50",120,"237,60",164,"105,00",247,"96,70",4639,"27,30",3477,"29,70",7183,"16,30",17631,"13,10",64673,"9,00",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-09-02,501704,"3873264,00",0,"0,00",0,"0,00",0,"401514,00",4,"6792,50",52,"328,70",91,"152,90",209,"102,00",3147,"33,40",3264,"25,70",4808,"19,80",17872,"10,70",50055,"9,60",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-08-26,490117,"3717046,00",0,"0,00",0,"869806,10",0,"92563,80",5,"8531,20",46,"370,40",64,"159,20",162,"112,70",2373,"36,20",2709,"29,70",3956,"19,80",16167,"12,00",38459,"10,70",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-08-19,481846,"3601522,00",0,"0,00",0,"347334,20",0,"114995,70",1,"8960,70",66,"268,40",102,"121,60",193,"76,10",3221,"26,80",2855,"25,80",4523,"16,50",14526,"11,80",44093,"9,60",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-08-12,477588,"3549126,00",0,"0,00",0,"805550,90",0,"68580,60",6,"5831,60",70,"260,40",116,"118,00",195,"86,30",3173,"29,40",2924,"26,20",4689,"17,60",16068,"10,90",43971,"9,50",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-08-05,478494,"3566084,00",0,"0,00",0,"297880,40",0,"45084,60",3,"4128,60",73,"196,80",129,"82,40",235,"62,50",3017,"25,20",3517,"19,20",5268,"13,60",17759,"9,20",43877,"8,80",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-07-29,896899,"7865056,00",0,"115436126,00",0,"667248,20",0,"106511,70",11,"6339,90",164,"288,30",216,"133,30",381,"93,80",6632,"30,60",5808,"27,80",9684,"19,90",32034,"11,70",102808,"9,20",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-07-22,698618,"6015140,00",0,"0,00",0,"1228549,90",1,"87160,60",4,"9486,80",88,"381,60",117,"169,50",315,"109,70",4336,"37,50",4405,"31,00",6699,"21,80",23914,"12,60",65703,"11,00",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-07-15,680978,"5699316,00",0,"0,00",0,"416172,70",2,"65612,80",16,"5305,60",129,"233,10",211,"106,80",473,"72,30",6621,"24,90",5711,"22,70",10148,"15,40",28326,"10,30",84765,"8,50",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-07-08,548407,"4484524,00",0,"0,00",0,"492098,00",0,"61096,60",2,"6913,30",72,"332,00",65,"167,10",231,"107,30",2835,"39,60",3988,"27,60",4269,"24,40",24878,"10,20",45678,"12,10",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-07-01,510896,"4089280,00",0,"0,00",0,"317190,30",0,"202530,30",6,"4862,60",78,"233,20",113,"117,20",263,"78,70",3825,"25,30",3699,"23,40",5526,"16,60",19314,"10,70",60987,"8,00",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-06-24,474967,"3682974,00",0,"0,00",0,"471893,50",0,"74397,60",9,"7472,90",73,"268,80",93,"136,00",168,"96,60",2869,"27,70",2291,"29,60",4027,"17,80",12644,"13,60",45686,"8,50",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-06-17,420742,"3209342,00",0,"0,00",1,"241670,00",1,"32486,20",5,"4740,60",79,"166,40",131,"64,10",208,"72,50",3480,"21,90",2768,"25,30",5768,"11,50",13801,"11,90",44676,"8,40",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-06-10,465380,"3396868,00",0,"0,00",0,"395836,40",0,"140414,90",3,"6576,80",44,"326,90",67,"159,30",198,"73,20",3038,"27,70",2737,"28,20",4279,"18,50",15057,"11,80",44800,"9,60",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-06-03,383430,"2800320,00",0,"0,00",0,"185245,40",0,"105139,30",6,"4267,00",65,"220,50",96,"105,80",231,"67,70",3156,"23,90",3148,"20,30",4404,"15,60",14674,"9,50",43095,"7,90",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-05-27,386211,"2760120,00",0,"0,00",0,"0,00",0,"248346,90",2,"5267,30",52,"310,30",99,"143,50",161,"93,80",1911,"35,60",2226,"27,70",3321,"21,10",12661,"11,20",29709,"11,00",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-05-20,388126,"2969946,00",0,"43020745,00",1,"385427,30",1,"93752,50",11,"3146,00",90,"193,50",124,"92,10",303,"52,00",3631,"22,50",4166,"16,70",5472,"14,00",19937,"7,70",49237,"7,80",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-05-13,487420,"3563918,00",0,"0,00",0,"375587,40",0,"159878,40",3,"7742,20",51,"317,20",98,"147,90",190,"94,30",2889,"29,90",3203,"27,40",4452,"18,20",16499,"11,60",48860,"9,10",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-05-06,380984,"2756378,00",0,"0,00",1,"305299,60",0,"86639,10",3,"5381,30",57,"215,60",82,"84,60",151,"78,00",2538,"25,70",2415,"23,80",4442,"13,40",11731,"11,10",38728,"8,70",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-04-29,383574,"2735768,00",0,"0,00",0,"1737261,50",0,"246503,30",4,"8189,40",41,"332,50",82,"136,30",124,"114,30",2199,"33,20",1877,"33,10",3972,"16,80",10569,"14,00",32760,"10,10",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-04-22,408668,"2966028,00",0,"11874779,00",0,"84084,40",0,"19600,70",10,"3563,70",90,"172,90",110,"85,40",280,"52,00",3348,"21,60",4011,"17,00",4795,"14,30",18942,"8,20",45753,"7,60",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-04-15,444963,"3155796,00",0,"0,00",0,"1885108,70",0,"106992,60",1,"6588,20",50,"279,00",97,"127,50",152,"99,90",2555,"32,20",2401,"29,40",3953,"19,00",14480,"11,80",38121,"10,10",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-04-08,668772,"5615206,00",0,"64040749,00",0,"344680,70",1,"97814,70",13,"5458,40",125,"233,40",195,"106,70",349,"80,80",5431,"27,10",4449,"25,60",8491,"15,90",23160,"11,70",75468,"9,20",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-04-01,558728,"4526806,00",0,"0,00",0,"1442087,40",0,"409241,00",9,"6878,00",42,"371,90",71,"195,40",256,"82,40",2660,"37,90",4769,"21,20",4030,"23,50",30793,"7,80",45196,"11,20",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-03-25,468050,"3587684,00",0,"0,00",0,"761236,60",0,"324039,90",5,"9849,20",46,"396,10",52,"179,70",180,"106,30",2993,"33,60",2781,"30,10",4352,"20,00",15171,"12,10",44695,"10,30",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-03-18,407760,"3008206,00",0,"0,00",0,"1018790,50",0,"115646,40",3,"5363,90",53,"291,60",73,"157,50",234,"70,70",2610,"31,30",3482,"19,90",3406,"21,50",18317,"8,00",39199,"9,80",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-03-11,339009,"2451058,00",0,"0,00",1,"615432,10",0,"65493,60",4,"6804,50",58,"247,00",93,"94,10",146,"105,40",2210,"29,80",1869,"30,50",4361,"15,70",9256,"13,20",31186,"9,70",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-03-04,352924,"2460696,00",0,"0,00",0,"821204,70",0,"155363,00",9,"5284,40",151,"243,30",276,"110,80",219,"91,90",3397,"29,70",2083,"28,80",5555,"18,20",10268,"12,00",35158,"9,80",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-02-25,290697,"2030138,00",0,"0,00",0,"375182,40",0,"70980,40",2,"6760,00",31,"340,80",63,"141,20",102,"95,80",1603,"34,70",1627,"26,90",2823,"19,00",9619,"10,80",24254,"10,50",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-02-18,318296,"2207904,00",0,"10000000,00",0,"1544014,80",0,"219083,10",2,"7451,80",24,"400,40",26,"184,60",68,"132,80",1199,"37,10",1157,"38,30",1957,"21,00",6644,"15,40",22407,"10,40",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-02-11,314320,"2328464,00",0,"34776948,00",0,"331257,50",1,"62670,30",7,"4379,10",49,"230,30",91,"112,10",159,"69,90",2346,"26,30",2299,"22,50",3679,"15,80",11615,"10,20",31799,"8,70",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-02-04,294309,"2125984,00",0,"0,00",1,"1738214,50",0,"70468,10",3,"6406,10",57,"202,10",40,"97,60",89,"99,40",2150,"24,40",1258,"30,80",2970,"14,90",6488,"14,30",28946,"8,40",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-01-28,284535,"2015748,00",0,"0,00",0,"263505,20",0,"149557,00",2,"4451,10",22,"266,40",45,"168,00",155,"55,20",1749,"27,60",2539,"15,80",1992,"21,50",12977,"7,20",28054,"8,40",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-01-21,280341,"1972464,00",0,"0,00",0,"80527,50",2,"27137,20",1,"1891,00",55,"124,20",116,"64,80",172,"42,20",2423,"19,00",2809,"15,20",3303,"13,10",13085,"7,50",30352,"7,40",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-01-14,308525,"2246470,00",0,"13003681,00",0,"253545,60",1,"50366,50",2,"4612,30",44,"174,30",100,"78,40",101,"74,90",2363,"22,30",1709,"24,80",3714,"12,90",8528,"11,90",32528,"8,20",0,"0,00"
2005,euromillions-financialdata-NL-2005.csv,2005-01-07,289142,"2083028,00",0,"0,00",0,"318258,50",0,"451583,00",0,"6582,80",24,"250,60",35,"127,80",90,"105,80",2002,"26,50",1314,"30,20",2451,"19,20",7264,"13,70",31752,"8,40",0,"0,00"
2006,euromillions-financialdata-NL-2006.csv,2006-12-29,961310,"7373294,00",0,"0,00",0,"522022,50",0,"115221,10",9,"6071,30",143,"229,30",169,"113,50",405,"77,60",6585,"23,70",6088,"23,60",9855,"15,60",32989,"10,90",102525,"7,90",0,"0,00"
2006,euromillions-financialdata-NL-2006.csv,2006-12-22,985384,"7316226,00",0,"0,00",0,"881182,60",1,"90932,80",9,"6615,40",157,"267,20",186,"134,90",321,"103,30",6757,"27,40",5205,"30,10",9017,"18,50",27719,"12,80",102116,"8,70",0,"0,00"
2006,euromillions-financialdata-NL-2006.csv,2006-12-15,993614,"7143934,00",0,"0,00",1,"406071,10",2,"57618,20",27,"2913,60",199,"208,00",306,"101,60",860,"51,90",7570,"27,40",10547,"17,20",11854,"16,90",52403,"7,40",94762,"9,80",0,"0,00"
